Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD
21,26,18110,8.0,6.0,6.75,8.0,5.25,,,,8.6,,42.6,22.75,23.35,21.25,,22.6
17,29,25944,7.0,8.0,,,,3.5,5.25,7.25,6.0,,37.0,,,,16.75,21.0
21,29,10220,5.8,7.75,,,,5.75,6.5,8.5,4.4,,38.7,,,,20.0,18.0
21,29,33837,7.6,5.25,5.5,4.25,3.5,,,,3.0,,29.1,17.4,16.1,15.3,,15.8
22,29,1302,8.6,9.5,,,,8.25,7.25,9.25,9.8,,52.65,,,,25.0,27.9
21,1,51415,2.6,5.5,,,,2.5,3.75,5.5,2.4,,22.25,,,,11.75,10.5
21,25,18103,8.6,8.25,,,,7.25,7.5,9.75,9.2,,50.55,,,,23.0,26.05
20,49,9796,5.6,7.0,,,,8.5,8.0,9.75,3.8,N1,42.65,,,,23.5,16.4
22,2,2256,5.4,6.0,,,,7.25,6.75,8.25,5.6,,39.25,,,,20.0,17.0
23,54,2776,6.6,7.5,4.25,5.0,7.5,,,,8.8,N1,39.65,15.85,19.65,19.1,,22.9
23,41,9559,7.2,3.0,,,,6.0,4.75,,,,,,,,13.75,
17,1,16265,4.8,6.75,,,,5.25,7.75,8.75,8.6,,41.9,,,,19.75,20.15
17,57,2272,5.2,6.25,,,,5.75,8.25,7.0,3.0,,35.45,,,,20.25,14.45
20,3,6158,7.6,8.25,,,,6.75,7.75,9.75,7.8,N1,47.9,,,,22.75,23.65
22,10,3678,5.0,3.5,,,,1.75,4.5,,,,,,,,9.75,
23,60,4563,7.2,7.5,,,,6.75,5.25,7.5,2.4,N1,36.6,,,,19.5,17.1
22,17,11035,5.6,3.75,,,,6.0,5.75,,,,,,,,15.5,
21,41,7107,3.4,6.25,,,,3.5,5.25,6.75,4.2,,29.35,,,,15.0,13.85
23,18,4377,6.2,7.5,,,,5.5,6.0,7.75,3.8,N1,36.75,,,,19.0,17.5
19,16,4658,6.4,7.25,,,,5.5,6.75,9.75,5.8,N1,41.45,,,,19.5,19.45
19,21,6691,2.4,5.75,2.75,1.75,3.0,3.0,5.25,,,,16.4,6.9,,7.15,14.0,
20,14,6960,9.4,,8.5,7.75,,,,,,,,25.65,,,,
23,2,44398,8.0,7.0,,,,4.0,7.0,9.0,4.6,N1,39.6,,,,18.0,19.6
18,28,23864,2.8,3.0,,,,3.0,5.25,6.0,3.6,,23.65,,,,11.25,9.4
24,59,1673,4.2,6.5,,,,5.25,5.25,6.0,3.4,N1,30.6,,,,17.0,14.1
17,21,6913,4.8,5.0,,,,3.75,6.75,8.25,3.6,,32.15,,,,15.5,13.4
21,38,6997,7.2,6.25,7.0,5.0,5.0,,,,4.8,,35.25,19.2,19.0,17.2,,18.25
19,1,8449,8.8,5.5,7.5,5.5,4.75,,,,8.8,N1,40.85,21.8,25.1,19.05,,23.1
22,2,15114,6.4,5.75,,,,6.25,6.5,8.75,5.2,,38.85,,,,18.5,17.35
17,2,64951,4.0,3.25,4.25,5.5,2.5,,,,,,,13.75,,12.0,,
21,18,9698,8.0,6.75,7.25,6.0,6.0,,,,9.6,,43.6,21.25,24.85,20.0,,24.35
22,3,10862,7.6,8.75,,,,5.75,7.5,9.0,7.8,,46.4,,,,22.0,24.15
23,54,14101,8.4,6.75,7.75,8.0,7.25,,,,7.6,N1,45.75,24.15,23.75,23.65,,22.75
23,61,9264,6.2,7.0,4.75,5.75,5.0,,,,4.2,N1,32.9,16.7,15.15,16.95,,17.4
18,1,61192,5.0,2.5,4.5,2.5,3.5,3.25,3.5,4.75,2.8,,21.8,12.0,12.3,11.0,9.25,10.3
22,51,1409,8.0,7.25,6.5,5.0,4.25,,,,6.4,,37.4,19.5,20.9,17.25,,21.65
18,2,18003,6.6,4.25,6.0,6.0,6.0,,,,4.8,,33.65,18.6,17.4,18.6,,15.65
19,40,11513,6.0,4.75,,,,4.5,6.25,7.0,3.0,N1,31.5,,,,15.5,13.75
18,30,10681,3.2,6.75,,,,4.5,6.0,6.5,2.8,,29.75,,,,17.25,12.75
23,41,11808,6.0,5.75,5.5,4.0,4.0,,,,1.2,N1,26.45,15.5,12.7,14.0,,12.95
21,9,2584,7.2,4.0,,,,2.75,6.5,7.5,6.2,,34.15,,,,13.25,17.4
23,50,11592,7.6,7.0,4.5,5.75,7.0,,,,4.6,N1,36.45,17.85,16.7,20.35,,19.2
24,1,86095,6.4,7.75,,,,7.5,8.5,,,,,,,,23.75,
19,1,42960,5.8,6.5,,,,5.0,5.0,6.5,2.6,N1,31.4,,,,16.5,14.9
18,47,227,5.6,5.5,,,,5.75,7.0,8.75,5.2,,37.8,,,,18.25,16.3
17,1,5115,8.0,6.5,7.25,4.25,3.5,,,,7.0,,36.5,19.5,22.25,15.75,,21.5
17,48,9501,5.0,3.75,3.5,3.25,4.25,3.5,7.5,,,,19.75,11.75,,12.5,14.75,
23,54,7190,7.0,6.5,,,,6.75,6.25,7.5,5.6,N1,39.6,,,,19.5,19.1
23,34,13320,7.0,5.0,7.75,6.0,6.5,,,,7.8,N1,40.05,20.75,22.55,19.5,,19.8
24,42,3845,7.0,7.75,,,,8.75,9.5,9.0,5.4,N1,47.4,,,,26.0,20.15
