Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD
18,17,2284,3.0,3.25,,,,3.25,6.0,8.0,2.4,,25.9,,,,12.5,8.65
24,49,9770,7.0,7.25,7.25,7.75,8.0,,,,6.4,N1,43.65,22.0,20.65,22.75,,20.65
17,60,493,4.4,6.5,,,,7.0,6.0,7.75,5.8,,37.45,,,,19.5,16.7
23,6,1937,,3.75,,,,7.0,7.0,,,,,,,,17.75,
22,17,7074,8.0,7.25,7.25,7.75,5.25,,,,8.2,,43.7,23.0,23.45,21.0,,23.45
22,1,81720,6.8,6.0,,,,6.0,4.75,7.0,5.8,,36.35,,,,16.75,18.6
19,28,18722,5.6,5.5,4.25,3.75,3.5,,,,2.2,N1,24.8,13.6,12.05,12.85,,13.3
19,2,51487,6.2,7.0,5.0,7.75,5.75,,,,7.2,,38.9,18.9,18.4,19.7,,20.4
20,37,415,7.2,7.0,5.0,7.5,4.5,,,,5.2,N1,36.4,19.7,17.4,19.2,,19.4
23,1,9548,8.2,8.0,,,,5.75,5.75,8.75,6.8,N1,43.25,,,,19.5,23.0
24,48,2273,6.0,5.0,,,,5.75,5.5,,,,,,,,16.25,
18,46,2160,5.6,5.5,5.0,5.75,5.75,,,,3.2,,30.8,16.35,13.8,17.1,,14.3
21,34,2255,7.0,6.25,,,,2.25,7.0,9.0,4.0,,35.5,,,,15.5,17.25
17,42,11338,3.8,5.75,,,,3.5,5.5,6.0,4.4,,28.95,,,,14.75,13.95
21,32,6637,6.6,5.5,5.25,5.5,5.0,,,,5.8,,33.65,17.4,17.6,17.1,,17.9
24,35,8528,7.0,3.5,,,,4.75,6.0,,6.2,N1,,,,,14.25,16.7
20,63,140,7.4,3.5,,,,3.0,6.75,9.0,3.6,N1,33.25,,,,13.25,14.5
17,56,6147,6.4,6.5,4.5,6.0,5.25,,,,3.8,,32.45,16.9,14.7,17.65,,16.7
18,23,5177,3.4,5.75,2.25,2.25,2.5,3.5,5.5,6.75,2.2,,27.1,7.9,7.85,8.15,14.75,11.35
18,60,1458,5.8,7.25,5.75,4.75,6.0,,,,2.6,,32.15,16.3,14.15,16.55,,15.65
18,40,18198,2.2,5.0,,,,3.0,7.0,8.5,2.2,,27.9,,,,15.0,9.4
17,1,66895,3.4,4.75,,,,5.5,7.0,,,,,,,,17.25,
23,43,784,3.6,5.5,,,,5.25,6.0,7.0,5.0,N1,32.35,,,,16.75,14.1
23,1,23785,5.0,6.75,,,,5.75,4.5,,,,,,,,17.0,
18,64,4775,3.2,7.5,,,,4.25,7.5,8.25,5.0,,35.7,,,,19.25,15.7
18,49,2557,6.8,5.0,7.0,7.75,4.0,,,,5.0,,35.55,21.55,18.8,18.55,,16.8
23,2,48635,8.2,6.0,7.25,5.75,4.5,,,,6.8,N1,38.5,21.2,22.25,18.45,,21.0
17,28,30566,3.6,3.25,,,,3.5,6.0,7.0,2.6,,25.95,,,,12.75,9.45
20,13,2186,3.8,5.5,,,,6.25,6.75,7.5,3.0,N1,32.8,,,,18.5,12.3
22,14,5798,3.8,5.5,,,,6.0,5.5,7.75,3.8,,32.35,,,,17.0,13.1
22,33,10149,7.0,7.0,,,,6.75,7.5,9.0,3.6,,40.85,,,,21.25,17.6
18,27,342,4.2,4.5,,,,3.5,6.25,7.25,2.6,,28.3,,,,14.25,11.3
17,19,10540,5.8,4.0,4.5,3.5,4.25,,,,3.2,,25.25,13.8,13.5,13.55,,13.0
18,27,1021,3.0,2.0,,,,2.5,4.25,,,,,,,,8.75,
23,2,23295,6.4,8.0,,,,6.75,5.5,8.0,8.6,N1,43.25,,,,20.25,23.0
18,1,38034,1.4,3.5,,,,3.0,2.75,3.75,2.4,,16.8,,,,9.25,7.3
22,10,7756,7.6,6.75,,,,8.75,8.75,9.0,5.0,,45.85,,,,24.25,19.35
22,2,4651,9.2,7.0,7.75,8.0,8.0,,,,,,,24.95,,25.2,,
21,49,11171,4.8,5.25,,,,3.75,5.25,7.0,2.6,,28.65,,,,14.25,12.65
19,1,61104,1.8,2.5,,,,6.25,3.0,3.5,2.8,N1,19.85,,,,11.75,7.1
22,1,95129,,3.5,,,,6.25,6.5,,,,,,,,16.25,
21,2,308,8.0,7.0,6.75,7.0,5.75,,,,7.8,,42.3,21.75,22.55,20.75,,22.8
21,14,7414,4.0,3.5,,,,2.0,6.0,7.75,2.0,,25.25,,,,11.5,9.5
20,48,27088,7.0,8.0,,,,4.25,7.25,8.5,5.4,N1,40.4,,,,19.5,20.4
22,15,7046,8.0,8.25,,,,5.5,8.75,8.75,7.4,,46.65,,,,22.5,23.65
22,2,34302,7.0,7.5,,,,6.0,6.75,8.75,5.0,,41.0,,,,20.25,19.5
20,16,9425,7.8,7.0,,,,7.25,8.5,9.0,4.6,N1,44.15,,,,22.75,19.4
23,33,7874,7.8,8.5,,,,8.25,6.0,9.0,6.4,N1,45.95,,,,22.75,22.7
18,1,31785,6.8,3.75,4.0,7.0,5.25,,,,3.0,,29.8,17.8,13.8,19.05,,13.55
23,33,8064,5.2,8.0,,,,8.25,8.5,8.5,3.4,N1,41.85,,,,24.75,16.6
20,50,10490,3.6,6.5,,,,4.5,5.75,8.0,1.8,N1,30.15,,,,16.75,11.9
24,23,5837,5.4,5.75,,,,7.0,8.25,8.25,5.0,N1,39.65,,,,21.0,16.15
23,26,18630,8.6,7.75,8.5,8.5,7.25,,,,4.6,N1,45.2,25.6,21.7,24.35,,20.95
17,1,30646,4.0,4.75,,,,3.25,5.25,6.25,2.8,,26.3,,,,13.25,11.55
20,10,951,3.0,3.75,,,,2.75,5.75,,,,,,,,12.25,
21,1,44401,8.4,7.75,,,,5.0,6.25,8.25,7.2,,42.85,,,,19.0,23.35
17,14,5720,8.6,,8.0,8.5,,,,,3.8,,,25.1,20.4,,,
24,2,44670,6.4,6.5,,,,8.0,8.5,7.25,9.2,N1,45.85,,,,23.0,22.1
20,36,1734,2.4,1.5,,,,3.75,3.25,,,,,,,,8.5,
20,40,4386,6.2,7.25,,,,5.75,6.75,8.0,4.0,N1,37.95,,,,19.75,17.45
24,1,33398,8.6,7.5,8.0,6.0,6.5,,,,8.0,N1,44.6,22.6,24.6,21.1,,24.1
18,3,18738,7.2,7.5,8.25,6.0,5.25,,,,7.6,,41.8,21.45,23.05,18.45,,22.3
23,55,6720,5.0,7.0,,,,5.25,5.25,8.5,5.0,N1,36.0,,,,17.5,17.0
24,10,1296,3.8,3.75,,,,4.75,6.25,,,,,,,,14.75,
24,10,4535,5.4,7.25,,,,6.5,7.5,8.25,3.4,N1,38.3,,,,21.25,16.05
23,28,19247,5.6,9.0,,,,4.25,5.25,8.75,4.0,N1,36.85,,,,18.5,18.6
24,21,2764,6.6,7.5,,,,7.0,8.75,9.75,5.4,N1,45.0,,,,23.25,19.5
23,9,388,7.6,8.0,,,,8.5,7.75,8.5,9.4,N1,49.75,,,,24.25,25.0
21,1,58131,7.4,7.25,,,,3.25,7.5,7.75,5.2,,38.35,,,,18.0,19.85
18,4,1928,6.0,4.5,5.75,3.75,3.5,,,,4.0,,27.5,15.5,15.75,13.25,,14.5
21,2,47535,6.8,7.25,4.5,6.0,3.0,,,,9.2,,36.75,17.3,20.5,15.8,,23.25
20,42,11191,7.0,5.0,5.25,4.75,6.25,,,,7.2,N1,35.45,17.0,19.45,18.0,,19.2
18,44,3411,5.4,6.75,,,,5.0,6.25,7.75,6.4,,37.55,,,,18.0,18.55
19,47,2300,6.8,7.0,,,,7.75,8.5,9.5,5.0,N1,44.55,,,,23.25,18.8
17,2,63230,3.4,5.0,,,,6.25,5.0,,,,,,,,16.25,
17,33,7384,6.4,,6.75,3.5,,,,,,,,16.65,,,,
24,48,21962,6.0,8.75,,,,6.5,7.5,8.75,9.6,N1,47.1,,,,22.75,24.35
22,54,2025,6.2,8.0,5.75,4.75,3.75,,,,2.8,,31.25,16.7,14.75,14.7,,17.0
20,53,7713,8.8,5.75,6.75,8.75,4.75,,,,7.8,N1,42.6,24.3,23.35,22.3,,22.35
18,7,2358,3.6,5.0,,,,4.25,5.25,8.5,3.4,,30.0,,,,14.5,12.0
17,35,46,4.8,5.25,6.25,5.5,3.5,,,,3.6,,28.9,16.55,14.65,13.8,,13.65
19,1,45572,3.6,5.25,,,,3.25,6.75,,,,,,,,15.25,
19,6,3759,6.6,5.25,3.75,4.0,5.5,,,,2.0,N1,27.1,14.35,12.35,16.1,,13.85
23,9,3896,3.2,6.0,,,,4.0,3.75,6.75,2.8,N1,26.5,,,,13.75,12.0
18,15,9832,6.2,7.25,,,,2.75,8.25,9.5,4.8,,38.75,,,,18.25,18.25
18,2,23302,4.6,4.75,,,,2.5,6.5,7.0,3.8,,29.15,,,,13.75,13.15
24,59,7137,7.6,9.5,,,,9.25,9.75,9.75,5.6,N1,51.45,,,,28.5,22.7
22,29,14816,5.6,8.25,,,,6.75,9.25,8.25,3.2,,41.3,,,,24.25,17.05
24,10,7769,5.2,6.5,,,,6.0,6.25,6.75,4.6,N1,35.3,,,,18.75,16.3
19,27,3503,4.8,7.25,,,,6.0,7.25,7.75,8.0,N1,41.05,,,,20.5,20.05
20,1,36480,8.2,6.5,,,,6.0,7.0,9.0,3.0,N1,39.7,,,,19.5,17.7
20,56,1077,5.6,5.0,,,,3.75,6.0,8.5,3.8,N1,32.65,,,,14.75,14.4
24,25,5698,8.2,9.25,,,,8.25,8.75,9.25,7.0,N1,50.7,,,,26.25,24.45
23,18,5013,6.6,8.0,5.75,5.5,5.75,,,,6.6,N1,38.2,17.85,18.95,17.85,,21.2
22,1,61839,7.2,7.5,,,,4.25,5.75,7.0,2.8,,34.5,,,,17.5,17.5
22,2,63076,2.6,3.75,,,,5.0,7.25,,,,,,,,16.0,
19,64,3059,6.6,7.0,4.75,4.75,4.75,,,,3.6,N1,31.45,16.1,14.95,16.1,,17.2
24,3,20808,8.2,8.75,7.75,8.75,8.0,,,,7.4,N1,48.85,24.7,23.35,24.95,,24.35
17,33,6997,5.8,4.75,,,,4.0,7.0,8.25,3.6,,33.4,,,,15.75,14.15
24,59,5067,6.0,9.0,,,,6.5,6.25,8.5,4.4,N1,40.65,,,,21.75,19.4
23,57,8447,6.0,5.25,,,,6.75,6.0,8.75,2.2,N1,34.95,,,,18.0,13.45
17,40,8807,4.4,4.75,,,,6.75,8.25,7.75,3.0,,34.9,,,,19.75,12.15
17,22,11007,3.6,5.25,,,,5.5,6.5,8.5,4.4,,33.75,,,,17.25,13.25
22,18,9194,3.2,6.0,,,,3.5,5.25,6.75,3.0,,27.7,,,,14.75,12.2
19,12,963,3.2,3.0,,,,3.5,4.0,5.25,3.4,N1,22.35,,,,10.5,9.6
19,60,1610,7.8,7.5,5.5,5.75,5.75,,,,6.4,N1,38.7,19.05,19.7,19.3,,21.7
20,28,9719,7.2,8.75,,,,3.75,6.5,8.75,5.4,N1,40.35,,,,19.0,21.35
23,43,1596,6.0,6.0,,,,4.75,6.5,,,,,,,,17.25,
21,50,14440,4.4,7.25,,,,5.75,7.5,9.75,7.2,,41.85,,,,20.5,18.85
18,2,1340,6.0,5.5,5.5,7.0,5.75,,,,7.4,,37.15,18.5,18.9,18.75,,18.9
20,22,3893,6.8,5.75,,,,5.25,6.5,7.25,5.0,N1,36.55,,,,17.5,17.55
21,13,1796,2.0,4.75,,,,2.75,5.25,,,,,,,,12.8,
18,1,47096,6.4,5.25,5.25,4.0,3.0,,,,3.0,,26.9,15.65,14.65,13.4,,14.65
23,29,34536,9.6,7.75,9.75,9.0,8.5,,,,9.2,N1,53.8,28.35,28.55,27.1,,26.55
24,22,12264,7.8,8.25,,,,5.75,8.25,8.0,5.2,N1,43.25,,,,22.25,21.25
21,36,51,8.4,6.75,,,,5.0,9.0,8.25,8.4,,45.8,,,,20.75,23.55
21,25,2168,8.4,8.5,,,,7.5,9.5,9.5,9.2,,52.6,,,,25.5,26.1
18,61,7982,4.8,7.25,,,,5.0,6.25,8.25,1.8,,33.35,,,,18.5,13.85
21,40,8919,5.2,6.0,,,,4.0,7.75,7.0,4.0,,33.95,,,,17.75,15.2
23,51,19111,8.0,8.0,7.75,8.5,8.75,,,,6.6,N1,47.6,24.25,22.35,25.25,,22.6
21,4,11268,8.2,7.5,,,,8.5,7.75,9.5,9.4,,50.85,,,,23.75,25.1
20,3,2942,4.4,4.75,,,,5.0,7.5,8.25,3.2,N1,33.1,,,,17.25,12.35
20,28,34786,5.4,7.0,,,,5.0,7.5,9.5,2.4,N1,36.8,,,,19.5,14.8
21,2,41872,7.0,6.0,6.25,6.75,4.75,,,,7.6,,38.35,20.0,20.85,18.5,,20.6
24,33,8326,5.8,7.5,,,,6.25,7.5,7.75,6.8,N1,41.6,,,,21.25,20.1
17,53,11416,4.5,4.75,4.75,5.75,4.75,,,,5.25,,29.75,15.0,14.5,15.0,,14.5
21,15,7290,8.0,7.0,,,,6.0,8.25,9.0,8.8,,47.05,,,,21.25,23.8
24,37,17986,5.8,7.0,,,,6.5,6.5,8.25,2.8,N1,36.85,,,,20.0,15.6
19,52,6197,4.4,5.0,,,,5.25,6.0,8.25,4.4,N1,33.3,,,,16.25,13.8
24,37,2845,7.0,6.0,5.5,7.5,6.5,,,,3.2,N1,35.7,20.0,15.7,21.0,,16.2
21,44,12323,5.2,5.5,,,,5.25,5.25,,,,,,,,16.0,
22,40,14003,6.2,5.75,1.25,4.5,2.5,,,,2.8,,23.0,11.95,10.25,13.2,,14.75
22,15,13957,2.8,7.25,,,,7.5,7.5,8.75,2.8,,36.6,,,,22.25,12.85
21,29,32552,6.4,7.0,,,,7.25,9.0,9.25,4.8,,43.7,,,,23.2,18.2
21,28,32994,4.6,5.5,,,,4.25,4.5,,,,,,,,14.25,
23,40,10686,6.6,6.0,,,,4.0,5.25,6.25,5.0,N1,33.1,,,,15.25,17.6
23,2,20682,7.6,7.75,6.0,7.75,6.75,,,,6.6,N1,42.45,21.35,20.2,22.1,,21.95
21,48,11849,4.6,4.25,,,,3.5,8.25,7.75,4.8,,33.15,,,,16.0,13.65
24,51,13533,8.6,7.75,8.75,5.75,8.0,,,,9.0,N1,47.85,23.1,26.35,22.35,,25.35
22,51,5767,3.0,5.75,,,,5.75,6.25,8.25,2.6,,31.6,,,,17.75,11.35
20,54,11358,4.6,7.25,,,,5.25,4.75,8.25,2.8,N1,32.9,,,,17.25,14.65
23,51,14987,3.8,5.75,,,,5.5,5.0,6.5,4.4,N1,30.95,,,,16.25,13.95
19,2,23490,6.4,5.75,5.5,5.75,4.75,,,,8.6,,36.75,17.6,20.5,16.9,,20.8
23,51,16592,4.0,7.0,,,,4.25,5.75,7.5,3.8,N1,32.3,,,,17.0,14.8
21,1,31269,8.0,8.25,,,,5.5,7.5,9.0,9.6,,47.85,,,,21.25,25.85
18,21,1503,3.2,2.75,,,,4.75,5.75,,,,,,,,13.25,
18,28,20966,3.4,5.5,,,,2.5,5.0,7.25,3.6,,27.25,,,,13.0,12.5
18,1,61394,5.2,6.5,3.25,3.0,4.0,,,,2.6,,24.55,11.45,11.05,12.2,,14.3
22,1,242,7.8,7.0,,,,8.5,8.0,8.5,8.4,,48.2,,,,23.5,23.2
18,42,10354,5.4,4.5,6.75,5.0,4.25,,,,4.2,,30.1,17.15,16.35,14.65,,14.1
21,61,4888,7.6,6.5,,,,5.25,6.75,10.0,5.0,,41.1,,,,18.5,19.1
21,19,13403,6.8,7.25,,,,4.0,6.75,7.75,3.2,,35.75,,,,18.0,17.25
19,59,13,6.8,5.0,3.0,5.75,6.5,,,,3.2,N1,30.25,15.55,13.0,19.05,,15.0
24,28,5602,6.8,9.25,,,,8.0,6.25,9.25,5.2,N1,44.75,,,,23.5,21.25
24,28,1323,7.8,8.25,,,,8.75,7.5,8.25,8.4,N1,48.95,,,,24.5,24.45
23,33,11018,4.4,7.0,,,,3.5,5.25,8.25,3.6,N1,32.0,,,,15.75,15.0
21,27,10380,6.8,8.0,,,,7.5,8.0,9.0,7.8,,47.1,,,,23.5,22.6
23,46,922,6.6,6.25,,,,6.25,6.0,7.0,3.2,N1,35.3,,,,18.5,16.05
18,25,11365,6.0,7.25,,,,4.75,5.5,7.5,6.8,,37.8,,,,17.5,20.05
18,2,30443,6.2,6.5,6.25,4.75,4.25,,,,4.6,,32.55,17.2,17.05,15.2,,17.3
19,48,7565,4.4,4.5,,,,3.75,5.0,,,,,,,,13.25,
18,28,27483,2.6,6.75,,,,5.5,6.75,7.25,2.6,,31.45,,,,19.0,11.95
24,34,13282,7.4,7.0,8.0,8.5,4.25,,,,5.8,N1,40.95,23.9,21.2,20.15,,20.2
19,29,13233,5.4,5.5,4.0,3.5,4.0,,,,4.0,N1,26.4,12.9,13.4,12.9,,14.9
22,30,389,4.2,6.25,,,,6.25,7.0,,,,,,,,19.5,
18,39,8581,5.6,5.5,,,,4.0,6.5,7.5,4.2,,33.3,,,,16.0,15.3
19,52,5611,2.6,3.75,,,,3.0,5.0,7.0,4.0,N1,25.35,,,,11.75,10.35
17,50,10295,3.0,3.5,,,,3.75,3.75,7.0,2.8,,23.8,,,,11.0,9.3
23,2,1534,5.6,7.75,,,,7.0,6.75,8.75,5.2,N1,41.05,,,,21.5,18.55
24,49,4971,,8.25,,,,9.25,9.0,9.0,6.6,N4,,,,,26.5,
19,2,65828,7.4,6.25,7.5,4.75,4.25,,,,8.0,,38.15,19.6,22.9,16.4,,21.6
21,29,17225,3.6,8.0,,,,7.75,9.25,6.0,3.8,,38.4,,,,25.0,15.4
21,38,10052,6.8,6.0,,,,5.5,7.25,9.5,5.0,,40.05,,,,18.75,17.8
20,53,2093,7.2,7.25,,,,7.5,8.0,9.0,5.2,N1,44.15,,,,22.75,19.65
22,40,2170,4.2,4.25,,,,5.5,5.5,,,,,,,,15.25,
19,28,28634,8.8,6.0,6.25,7.0,3.0,,,,4.0,N1,35.05,22.05,19.05,18.8,,18.8
23,2,58482,7.4,,,8.0,7.5,,,,,,,,,22.9,,
21,10,1534,3.6,7.0,,,,3.5,6.25,7.25,4.6,,32.2,,,,16.75,15.2
19,35,4730,6.0,5.0,5.75,5.0,3.5,,,,4.0,N1,29.25,16.75,15.75,14.5,,15.0
19,3,11731,6.6,6.0,,,,7.25,7.75,9.5,5.4,N1,42.5,,,,21.0,18.0
23,2,56515,7.6,6.25,5.0,8.0,8.5,,,,9.0,N1,44.35,20.6,21.6,24.1,,22.85
24,1,81019,7.4,7.0,,,,7.75,7.25,8.5,3.2,N1,41.1,,,,22.0,17.6
23,40,11324,4.4,6.75,,,,4.25,4.0,7.25,3.4,N1,30.05,,,,15.0,14.55
22,48,3162,4.4,4.75,,,,8.5,7.25,,,,,,,,20.5,
20,23,4225,3.8,6.5,,,,3.75,5.0,7.5,2.8,N1,29.35,,,,15.25,13.1
24,23,7750,8.4,7.75,4.0,6.75,8.5,,,,4.2,N1,39.6,19.15,16.6,23.65,,20.35
20,56,7968,7.8,5.0,7.0,8.0,7.0,,,,4.4,N1,39.2,22.8,19.2,22.8,,17.2
22,35,7025,7.2,7.25,6.0,5.75,5.0,,,,4.6,,35.8,18.95,17.8,17.95,,19.05
21,32,6366,5.6,5.25,,,,5.25,5.75,8.25,5.0,,35.1,,,,16.2,15.8
21,2,64673,8.2,6.75,3.75,7.75,6.25,,,,4.2,,36.9,19.7,16.15,22.2,,19.15
21,52,410,5.2,6.5,,,,4.0,6.5,9.0,5.0,,36.2,,,,17.0,16.7
24,61,5541,6.8,7.75,,,,8.75,9.25,9.25,5.6,N1,47.4,,,,25.75,20.15
23,22,403,,4.75,,,,5.0,5.25,,,,,,,,15.0,
18,23,3653,4.2,4.5,,,,3.0,4.5,6.25,2.6,,25.05,,,,12.0,11.3
17,5,3619,3.0,4.0,,,,5.75,6.0,8.5,5.2,,32.45,,,,15.75,12.2
21,34,2456,3.6,5.0,,,,2.75,5.0,,3.6,,,,,,12.75,12.2
18,30,12816,2.6,3.5,1.25,2.75,2.25,2.75,3.75,4.5,2.4,,19.5,6.6,6.25,7.6,10.0,8.5
21,55,5630,7.8,8.75,6.0,8.0,6.75,,,,4.8,,42.1,21.8,18.6,22.55,,21.35
21,57,6847,8.6,7.5,6.75,7.5,8.25,,,,8.6,,47.2,22.85,23.95,24.35,,24.7
22,53,10894,3.4,6.0,,,,3.25,6.25,7.0,2.8,,28.7,,,,15.5,12.2
20,13,5393,5.6,5.0,,,,5.0,6.5,6.5,3.4,N1,32.0,,,,16.5,14.0
17,2,46847,3.4,6.0,,,,4.75,4.0,7.25,3.6,,29.0,,,,14.75,13.0
23,35,3561,5.6,7.25,,,,5.25,5.25,7.75,2.8,N1,33.9,,,,17.75,15.65
21,52,2316,8.6,7.75,5.75,8.5,8.75,,,,6.0,,45.35,22.85,20.35,25.85,,22.35
22,1,36024,7.6,4.75,,,,7.0,7.25,7.0,4.8,,38.4,,,,19.0,17.15
18,30,5337,3.8,5.0,,,,3.0,4.5,6.75,2.6,,25.65,,,,12.5,11.4
17,29,13587,4.0,5.25,3.0,5.5,4.0,,,,2.8,,24.55,12.5,9.8,13.5,,12.05
19,2,41762,6.6,5.25,5.0,4.0,3.75,,,,2.0,,26.6,15.6,13.6,14.3,,13.8
22,18,17722,6.0,6.0,,,,5.5,7.0,8.25,4.0,,36.75,,,,18.5,16.0
23,44,6372,8.0,4.75,,,,7.0,6.75,8.75,7.8,N1,43.05,,,,18.5,20.55
19,59,332,7.8,6.5,3.25,6.25,7.25,,,,6.0,N1,37.05,17.3,17.05,21.3,,20.3
24,14,5964,3.8,4.75,,,,8.0,7.0,7.75,4.4,N1,35.7,,,,19.75,12.95
24,52,12653,6.0,6.5,,,,4.5,8.0,7.75,4.4,N1,37.15,,,,19.0,16.9
22,49,10349,8.6,6.0,7.75,8.5,8.25,,,,4.0,,43.1,24.85,20.35,25.35,,18.6
21,29,2806,9.0,9.0,,,,4.75,6.5,8.0,9.6,,46.85,,,,20.2,27.6
19,55,9743,6.8,,,5.25,5.25,,,,,,,,,17.3,,
23,12,7153,7.8,5.5,5.25,5.5,6.0,,,,6.6,N1,36.65,18.55,19.65,19.3,,19.9
20,25,15055,7.2,6.75,6.75,7.75,6.25,,,,5.0,N1,39.7,21.7,18.95,21.2,,18.95
20,21,18778,7.8,7.0,,,,5.5,6.75,8.0,3.2,N1,38.25,,,,19.25,18.0
20,14,3638,3.4,5.75,,,,4.5,4.25,7.5,3.0,N1,28.4,,,,14.5,12.15
17,57,7808,4.2,6.5,,,,5.0,6.25,8.75,4.4,,35.1,,,,17.75,15.1
19,12,696,7.2,6.25,4.25,3.5,2.75,,,,7.0,N1,30.95,14.95,18.45,13.45,,20.45
22,9,2160,8.6,8.25,8.25,6.25,6.0,,,,8.4,,45.75,23.1,25.25,20.85,,25.25
22,38,193,5.0,5.75,,,,6.25,6.25,7.25,3.8,,34.3,,,,18.25,14.55
20,32,5159,3.2,6.25,,,,3.5,4.25,6.75,4.0,N1,27.95,,,,14.0,13.45
20,54,4711,7.4,4.5,5.25,3.25,6.0,,,,5.0,N1,31.4,15.9,17.65,16.65,,16.9
24,59,3349,5.2,9.0,,,,7.75,7.5,9.0,4.8,N1,43.25,,,,24.25,19.0
24,44,8827,7.2,7.25,,,,6.25,7.25,7.25,,,,,,,20.75,
20,26,9013,7.4,7.5,,,,,,,6.0,N1,,,,,,20.9
22,47,595,8.4,7.5,8.25,7.5,5.25,,,,8.0,,44.9,24.15,24.65,21.15,,23.9
20,12,152,7.2,7.5,,,,6.5,7.25,,,,,,,,21.25,
17,44,7725,7.4,8.5,7.5,8.0,6.25,,,,9.2,,46.85,22.9,24.1,21.65,,25.1
23,1,75054,5.8,5.75,,,,5.75,7.0,7.0,2.6,N1,33.9,,,,18.5,14.15
22,38,3075,6.2,4.25,3.75,4.5,3.25,,,,3.4,,25.35,14.45,13.35,13.95,,13.85
18,48,4732,5.2,3.75,,,,2.5,4.5,5.0,2.6,,23.55,,,,10.75,11.55
19,34,6164,8.0,5.25,6.75,4.0,5.75,,,,7.4,N1,37.15,18.75,22.15,17.75,,20.65
23,2,73959,6.6,7.5,,,,4.25,5.75,7.75,7.0,N1,38.85,,,,17.5,21.1
22,37,11850,9.4,7.0,8.75,7.0,6.5,,,,6.4,,45.05,25.15,24.55,22.9,,22.8
22,51,849,4.2,4.25,,,,5.0,6.0,5.75,4.2,,29.4,,,,15.25,12.65
19,35,7805,7.6,5.75,4.75,6.5,3.5,,,,4.6,N1,32.7,18.85,16.95,17.6,,17.95
24,16,3528,8.4,8.5,,,,9.75,10.0,9.75,8.8,N1,55.2,,,,28.25,25.7
17,46,5700,6.6,5.75,3.5,5.75,6.75,,,,5.8,,34.15,15.85,15.9,19.1,,18.15
20,45,1844,6.2,7.0,,,,6.0,6.5,8.75,5.8,N1,40.25,,,,19.5,19.0
24,48,19469,5.8,8.25,5.25,6.0,5.5,,,,5.4,N1,36.2,17.05,16.45,17.3,,19.45
17,63,4088,3.0,5.5,,,,2.0,5.25,7.25,3.8,,26.8,,,,12.75,12.3
22,1,81187,5.0,6.5,,,,4.5,4.5,6.5,2.8,,29.8,,,,15.5,14.3
18,28,10630,3.6,6.5,,,,5.25,6.75,7.25,2.0,,31.35,,,,18.5,12.1
22,15,3019,8.2,5.75,7.25,8.25,4.25,,,,4.2,,37.9,23.7,19.65,20.7,,18.15
21,59,7434,6.0,8.5,,,,6.5,8.0,9.5,4.6,,43.1,,,,23.0,19.1
17,17,743,3.2,5.5,,,,3.25,5.5,8.0,3.2,,28.65,,,,14.25,11.9
23,32,5373,7.4,4.75,5.0,6.75,6.75,,,,1.8,N1,32.45,19.15,14.2,20.9,,13.95
20,1,44329,8.0,7.5,,,,9.25,8.5,8.25,8.0,N1,49.5,,,,25.25,23.5
21,17,9843,3.2,1.5,,,,3.0,5.25,,,,,,,,9.75,
20,18,15054,4.0,4.25,,,,1.75,4.75,,,,,,,,10.75,
17,1,52513,7.8,7.0,7.25,8.0,6.25,,,,5.2,,41.5,23.05,20.25,22.05,,20.0
22,30,10798,7.2,5.25,,,,5.5,6.25,8.25,4.2,,36.65,,,,17.0,16.65
23,33,1312,5.6,5.75,,,,7.0,6.5,,,,,,,,19.25,
24,13,4195,7.0,7.0,,,,8.25,9.25,9.0,4.6,N1,45.1,,,,24.5,18.6
23,3,9518,7.6,7.5,8.0,7.5,8.0,,,,5.8,N1,44.4,23.1,21.4,23.1,,20.9
21,47,1394,7.6,6.0,,,,5.5,5.75,7.75,4.4,,37.0,,,,17.25,18.0
21,26,16827,8.4,4.0,8.25,8.0,5.75,,,,5.2,,39.6,24.65,21.85,22.15,,17.6
18,24,3002,3.8,6.5,,,,3.5,4.25,7.0,2.2,,27.25,,,,14.25,12.5
24,3,16414,3.6,8.5,,,,6.75,8.0,,,,,,,,23.25,
19,19,4069,5.2,4.5,,,,3.25,6.0,,,,,,,,13.75,
18,27,4286,5.8,6.0,,,,4.5,7.0,9.0,5.6,,37.9,,,,17.5,17.4
17,3,11465,4.6,5.25,,,,5.5,6.75,9.0,4.0,,35.1,,,,17.5,13.85
18,18,12178,4.8,6.0,2.75,2.75,5.0,,,,2.8,,24.1,10.3,10.35,12.55,,13.6
24,29,32717,5.6,8.75,,,,6.75,8.0,8.5,8.0,N1,45.6,,,,23.5,22.35
18,21,19684,5.2,7.25,,,,2.5,6.5,7.5,5.2,,34.15,,,,16.25,17.65
24,52,12358,5.6,7.0,3.25,6.75,6.0,,,,9.4,N1,38.0,15.6,18.25,18.35,,22.0
19,28,9268,4.2,5.0,,,,2.75,5.0,6.5,3.2,N1,26.65,,,,12.75,12.4
18,60,352,6.8,6.0,7.5,4.75,4.75,,,,4.0,,33.8,19.05,18.3,16.3,,16.8
